the cougars	bn:01345595n
the trojans	bn:03173874n
the spartans	bn:03755685n
the matter	
the issues	
the issue	bn:15051529n
the case	bn:16197696n
the subject	bn:00022157n,bn:00074905n
inward	bn:13768943n,bn:13768941n,bn:13768942n
forward	bn:03646517n,bn:02564499n,bn:00036015n,bn:02072778n,bn:16684959n,bn:00326317n,bn:02049705n,bn:02663082n,bn:01970075n,bn:00417426n,bn:01669207n,bn:00197785n,bn:14838655n,bn:00036014n,bn:14503893n,bn:03376139n,bn:01099710n,bn:03828540n,bn:01775809n
backward	bn:13709355n
last quarter	bn:00034794n,bn:00050100n,bn:03237440n
period last year	
quarter last year	
quarter this year	
month last year	
fiscal year	bn:00034543n
the blue	bn:03091026n,bn:00647987n,bn:02563219n,bn:00499607n
the red	bn:00171819n,bn:16414463n
the green	bn:00574683n,bn:02862605n,bn:02662335n,bn:13847613n,bn:02613455n
sandor	bn:16356555n,bn:02450827n
attila	bn:13905213n,bn:00382388n,bn:03742143n,bn:03104475n,bn:00007044n,bn:00328708n,bn:15685915n,bn:02797552n,bn:03382531n,bn:01216172n,bn:03512496n,bn:15555689n,bn:03471453n,bn:16187186n,bn:14943639n
gabor	bn:00026242n,bn:02762883n,bn:02762882n
ferenc	bn:00345427n
imre	bn:02873032n,bn:00891237n
laszlo	bn:03752834n,bn:03127107n
miklos	bn:03620415n
gyula	bn:01859823n,bn:00675277n,bn:00675219n
istvan	
andras	bn:16208431n,bn:01979599n,bn:01979451n,bn:03955515n
jiri novak	bn:00775715n,bn:02296630n
novak	bn:00450776n
agip	bn:00492204n
eni	bn:02066432n,bn:14303337n,bn:01196499n,bn:17008314n
petronas	bn:15370314n,bn:01846052n,bn:00248573n
finalist	bn:16205035n,bn:00034523n
runner-up	bn:00068575n
mid-june	bn:00054823n
mid	bn:14784868n
mid-january	bn:00054821n
bear	bn:03254677n,bn:00208523n,bn:00009343n,bn:16137215n,bn:16439001n,bn:02360089n,bn:00009342n,bn:03808417n,bn:14952495n,bn:13914465n,bn:14228223n,bn:03501012n,bn:01661131n,bn:00568030n,bn:02112060n,bn:00709300n,bn:15012361n
mid-february	bn:00054820n
runners-up	bn:00068575n
revised	bn:15714653n
footballer born	
divorced	bn:00443202n,bn:00027937n
daniel barenboim	bn:01349208n
james levine	bn:03243284n
pierre boulez	bn:00012409n
bernstein	bn:00707704n,bn:00010062n
lorin maazel	bn:02540788n
masur	bn:00050677n,bn:02764583n,bn:03391193n
levine	bn:03122585n
mehta	bn:00439284n,bn:01371549n
kurt masur	bn:02540228n
seiji ozawa	bn:00060039n
boulez	bn:00012409n
zubin mehta	bn:02540103n
riccardo muti	bn:01280516n
claudio abbado	bn:01859887n
rattle	bn:02855507n,bn:00066082n,bn:00066269n,bn:02851678n,bn:00829742n,bn:00066270n
leonard bernstein	bn:00010062n
sixth	bn:00071881n,bn:00071882n,bn:14440312n,bn:00058983n
third	bn:00058990n,bn:00042635n,bn:00076948n,bn:00575303n,bn:00076947n,bn:00076946n,bn:14598712n,bn:00076945n,bn:00076944n,bn:01133647n,bn:00756785n,bn:00068672n,bn:16298841n
seventh	bn:02691201n,bn:00050383n,bn:00058981n,bn:14028202n,bn:00070740n,bn:00070741n
fifth	bn:03629266n,bn:13816201n,bn:00034354n,bn:03130863n,bn:15845142n,bn:00034352n,bn:00034353n,bn:00034351n
first	bn:00034740n,bn:00034741n,bn:01200219n,bn:00009633n,bn:14952461n,bn:01185669n,bn:00034737n,bn:00034738n,bn:00034739n,bn:03423827n,bn:00126772n,bn:02475806n,bn:14457635n,bn:01145888n,bn:00693196n,bn:02218156n,bn:02114871n
far less	bn:00145389n
